suite,scene,method,budget,tri_ratio,psnr,lpips,dpsnr_b0,dpsnr_b0_lo,dpsnr_b0_hi,dlpips_b0,dpsnr_b0p,dpsnr_b0p_lo,dpsnr_b0p_hi,dlpips_b0p,fps_ratio
S-REND,room,B5,B25,0.2500,28.2561,0.2680,-0.2194,-0.4029,-0.0623,-0.00021,-0.3447,-0.5205,-0.1925,0.00732,1.450
S-REND,counter,B5,B25,0.2500,26.1074,0.2780,-0.3029,-0.4922,-0.1413,0.00042,-0.4750,-0.6571,-0.3188,0.01293,1.635
S-REND,kitchen,B5,B25,0.2500,27.0124,0.2257,-0.2833,-0.5151,-0.0842,-0.00051,-0.5973,-0.8159,-0.4179,0.01482,1.587
S-REND,bonsai,B5,B25,0.2500,28.1819,0.2929,-0.1968,-0.3894,-0.0324,0.00278,-0.4616,-0.6362,-0.3142,0.00942,1.479
S-REND,bicycle,B4,B25,0.2500,22.9645,0.3528,-0.0566,-0.0901,-0.0318,0.00559,-0.1969,-0.2482,-0.1525,0.00800,1.617
S-REND,flowers,B4,B25,0.2500,18.9683,0.4191,-0.4218,-0.6427,-0.2272,0.01065,-0.4997,-0.7022,-0.3186,0.01168,1.639
S-REND,garden,B4,B25,0.2500,24.5727,0.2225,-0.1393,-0.1993,-0.0869,0.00620,-0.2079,-0.2604,-0.1610,0.00915,1.664
S-REND,stump,B4,B25,0.2500,24.7639,0.3165,-0.1022,-0.1526,-0.0546,0.00709,-0.1899,-0.2623,-0.1198,0.00962,1.685
S-REND,treehill,B4,B25,0.2500,20.3596,0.4315,-0.2925,-0.3982,-0.1909,0.01056,-0.3270,-0.4335,-0.2273,0.01386,1.706
S-REND,room,B4,B25,0.2500,28.1696,0.2722,-0.3058,-0.4858,-0.1527,0.00399,-0.4311,-0.6027,-0.2814,0.01151,1.472
S-REND,counter,B4,B25,0.2500,26.0039,0.2839,-0.4064,-0.5940,-0.2436,0.00630,-0.5785,-0.7611,-0.4190,0.01881,1.636
S-REND,kitchen,B4,B25,0.2500,26.8391,0.2336,-0.4567,-0.6767,-0.2714,0.00738,-0.7706,-0.9799,-0.5980,0.02270,1.576
